year,soc_name,soc,sex_name,sex,age,num_ppl,num_ppl_moe
2015,"Computer programmers","151131","Male","1",76,133,83.1669
2015,"Computer programmers","151131","Male","1",77,48,48.9647
2015,"Computer programmers","151131","Female","2",77,29,31.5951
2015,"Computer programmers","151131","Male","1",78,15,20.3342
2015,"Computer programmers","151131","Male","1",79,55,58.1793
2015,"Computer programmers","151131","Female","2",79,22,26.7205
2015,"Computer programmers","151131","Male","1",80,26,33.5939
2015,"Computer programmers","151131","Male","1",81,14,24.0587
2015,"Computer programmers","151131","Female","2",81,25,42.5273
2015,"Computer programmers","151131","Male","1",82,16,30.6142
2015,"Computer programmers","151131","Female","2",82,16,26.338
2015,"Computer programmers","151131","Male","1",83,32,32.7785
2015,"Computer programmers","151131","Male","1",84,13,20.6479
2015,"Computer programmers","151131","Male","1",85,46,55.9614
2015,"Computer programmers","151131","Female","2",87,10,18.1845
2015,"Computer programmers","151131","Male","1",93,25,42.0232
2015,"Computer programmers","151131","Female","2",93,15,24.5486
2015,"Computer programmers","151131","Female","2",94,16,26.7888
2016,"Computer programmers","151131","Male","1",16,150,104.569
2016,"Computer programmers","151131","Female","2",16,6,10.6354
2016,"Computer programmers","151131","Male","1",17,153,102.714
2016,"Computer programmers","151131","Female","2",17,82,65.404
2016,"Computer programmers","151131","Male","1",18,506,226.094
2016,"Computer programmers","151131","Female","2",18,82,71.6888
2016,"Computer programmers","151131","Male","1",19,915,224.023
2016,"Computer programmers","151131","Female","2",19,447,178.102
2016,"Computer programmers","151131","Male","1",20,1981,533.239
2016,"Computer programmers","151131","Female","2",20,433,251.466
2016,"Computer programmers","151131","Male","1",21,3375,637.411
2016,"Computer programmers","151131","Female","2",21,807,271.618
2016,"Computer programmers","151131","Male","1",22,4254,700.082
2016,"Computer programmers","151131","Female","2",22,899,228.816
2016,"Computer programmers","151131","Male","1",23,5491,740.971
2016,"Computer programmers","151131","Female","2",23,1038,333.093
2016,"Computer programmers","151131","Male","1",24,5927,803.409
2016,"Computer programmers","151131","Female","2",24,1287,325.562
2016,"Computer programmers","151131","Male","1",25,6011,753.565
2016,"Computer programmers","151131","Female","2",25,1355,377.272
2016,"Computer programmers","151131","Male","1",26,8643,1118.27
2016,"Computer programmers","151131","Female","2",26,1329,359.56
2016,"Computer programmers","151131","Male","1",27,7058,778.631
2016,"Computer programmers","151131","Female","2",27,1779,456.524
2016,"Computer programmers","151131","Male","1",28,8798,1021.88
2016,"Computer programmers","151131","Female","2",28,1921,432.725
2016,"Computer programmers","151131","Male","1",29,8631,992.666
2016,"Computer programmers","151131","Female","2",29,2029,500.443
2016,"Computer programmers","151131","Male","1",30,9629,984.842
2016,"Computer programmers","151131","Female","2",30,1632,394.43
2016,"Computer programmers","151131","Male","1",31,8974,936.279
2016,"Computer programmers","151131","Female","2",31,1780,363.57
2016,"Computer programmers","151131","Male","1",32,9371,915.206
2016,"Computer programmers","151131","Female","2",32,1886,477.973
2016,"Computer programmers","151131","Male","1",33,9131,862.922
2016,"Computer programmers","151131","Female","2",33,2300,442.806
2016,"Computer programmers","151131","Male","1",34,9030,966.927
2016,"Computer programmers","151131","Female","2",34,1703,363.315
2016,"Computer programmers","151131","Male","1",35,8887,923.013
2016,"Computer programmers","151131","Female","2",35,2506,540.327
2016,"Computer programmers","151131","Male","1",36,8009,730.085
2016,"Computer programmers","151131","Female","2",36,2139,515.794
2016,"Computer programmers","151131","Male","1",37,8147,723.221
2016,"Computer programmers","151131","Female","2",37,1491,334.989
2016,"Computer programmers","151131","Male","1",38,8153,668.458
2016,"Computer programmers","151131","Female","2",38,1652,358.989
2016,"Computer programmers","151131","Male","1",39,8692,902.976
2016,"Computer programmers","151131","Female","2",39,2667,476.591
2016,"Computer programmers","151131","Male","1",40,9281,1007.31
2016,"Computer programmers","151131","Female","2",40,2408,526.037
2016,"Computer programmers","151131","Male","1",41,8132,810.398
2016,"Computer programmers","151131","Female","2",41,2093,417.221
2016,"Computer programmers","151131","Male","1",42,10082,1183.38
2016,"Computer programmers","151131","Female","2",42,2348,476.717
2016,"Computer programmers","151131","Male","1",43,8923,917.78
2016,"Computer programmers","151131","Female","2",43,2068,386.524
2016,"Computer programmers","151131","Male","1",44,8605,770.615
2016,"Computer programmers","151131","Female","2",44,2774,463.821
2016,"Computer programmers","151131","Male","1",45,8188,660.185
2016,"Computer programmers","151131","Female","2",45,3034,516.161
2016,"Computer programmers","151131","Male","1",46,8488,706.246
