year,geo_name,geo,soc_name,soc,avg_wage,avg_wage_moe
2014,"Westminster, Stanton & Garden Grove (West) Cities PUMA, CA","79500US0605912","Computer programmers","151131",54601.2,17352.7
2014,"Garden Grove City (East) PUMA, CA","79500US0605913","Computer programmers","151131",64649.3,9959.53
2014,"Huntington Beach City PUMA, CA","79500US0605914","Computer programmers","151131",98519.4,11222.7
2014,"Orange County (Southeast)--Rancho Santa Margarita City (East) & Ladera Ranch PUMA","79500US0605915","Computer programmers","151131",103908.0,20428.2
2014,"Santa Ana City (West) PUMA, CA","79500US0605916","Computer programmers","151131",63977.7,16374.7
2014,"Santa Ana City (East) PUMA, CA","79500US0605917","Computer programmers","151131",65189.2,15870.5
2014,"Costa Mesa & Fountain Valley Cities PUMA, CA","79500US0605918","Computer programmers","151131",101043.0,21148.5
2014,"Placer County (Southwest)--Roseville City PUMA","79500US0606101","Computer programmers","151131",72879.5,9517.0
2014,"Placer County (Central)--Rocklin, Lincoln Cities & Loomis Town PUMA","79500US0606102","Computer programmers","151131",98465.5,26890.3
2014,"Placer County (East/High Country Region)--Auburn & Colfax Cities PUMA","79500US0606103","Computer programmers","151131",81766.5,21270.3
2014,"Riverside County (Central)--Cathedral City, Palm Springs & Rancho Mirage Cities PUMA","79500US0606502","Computer programmers","151131",112762.0,43103.2
2014,"Riverside County (Southwest)--Temecula City PUMA","79500US0606503","Computer programmers","151131",134096.0,44071.2
2014,"Menifee, Lake Elsinore & Canyon Lake Cities PUMA, CA","79500US0606505","Computer programmers","151131",73197.2,13354.7
2014,"Hemet City & East Hemet PUMA, CA","79500US0606506","Computer programmers","151131",87752.9,30194.9
2014,"Riverside City (East) PUMA, CA","79500US0606510","Computer programmers","151131",76004.0,21461.1
2014,"Riverside City (West) PUMA, CA","79500US0606511","Computer programmers","151131",65917.3,22841.7
2014,"Corona (Northwest) & Norco Cities PUMA, CA","79500US0606513","Computer programmers","151131",83640.6,21979.1
2014,"Jurupa Valley & Eastvale Cities PUMA, CA","79500US0606514","Computer programmers","151131",53434.7,18383.6
2014,"Sacramento County (North Central)--Citrus Heights City PUMA","79500US0606701","Computer programmers","151131",72303.5,13593.2
2014,"Sacramento County (Central)--Rancho Cordova City PUMA","79500US0606702","Computer programmers","151131",91485.5,45820.4
2014,"Sacramento County (North Central)--Arden-Arcade, Carmichael & Fair Oaks (West) PUMA","79500US0606703","Computer programmers","151131",77875.0,14457.4
2014,"Sacramento County (North Central)--North Highlands, Foothill Farms & McClellan Park PUMA","79500US0606704","Computer programmers","151131",57031.6,21371.0
2014,"Sacramento County (Northwest)--Sacramento City (Northwest/Natomas) PUMA","79500US0606705","Computer programmers","151131",84953.9,20422.6
2014,"Sacramento County (West)--Sacramento City (Central/Downtown & Midtown) PUMA","79500US0606707","Computer programmers","151131",76031.1,17470.5
2014,"Sacramento City (Southeast/Fruitridge, Avondale & Depot Park) PUMA, CA","79500US0606708","Computer programmers","151131",68517.1,28192.2
2014,"Sacramento City (Southwest/Pocket, Meadowview & North Laguna) PUMA, CA","79500US0606709","Computer programmers","151131",65429.9,13308.6
2014,"Elk Grove City PUMA, CA","79500US0606710","Computer programmers","151131",78901.9,7549.02
2014,"Sacramento County (South)--Galt, Isleton Cities & Delta Region PUMA","79500US0606711","Computer programmers","151131",58711.8,22322.9
2014,"Sacramento County (Northeast)--Folsom City, Orangevale & Fair Oaks (East) PUMA","79500US0606712","Computer programmers","151131",78720.7,13258.3
2014,"Hesperia City & Apple Valley Town PUMA, CA","79500US0607103","Computer programmers","151131",66333.9,17919.8
2014,"Redlands & Yucaipa Cities PUMA, CA","79500US0607105","Computer programmers","151131",95412.4,21293.3
2014,"Ontario City PUMA, CA","79500US0607113","Computer programmers","151131",64595.1,23125.9
2014,"Chino & Chino Hills Cities PUMA, CA","79500US0607114","Computer programmers","151131",96425.4,9911.96
2014,"Oceanside City & Camp Pendleton PUMA, CA","79500US0607301","Computer programmers","151131",85142.9,27302.6
